Party;Seats ;Seats change;Seats contested;Votes;Votes, of total (%);Change (%)
SNP;35;-21;59;977569;36,9;13,1
Conservative;13;12;59;757949;28,6;13,7
Labour;7;6;59;717007;27,1;2,8
Liberal Democrats;4;3;59;179061;6,8;0,7
Scottish Green;0;0;3;5886;0,2;1,1
UKIP;0;0;10;5302;0,2;1,4
Other parties;0;0;N/A;6921;0,3;
