;Party;Seats
81;['EPP', 'S&D', 'EFDD'];460
82;['EPP', 'NI', 'ALDE', 'EFDD'];388
83;['NI', 'S&D', 'ECR', 'ALDE', 'Greens/EFA', 'EPP'];651
84;['NI', 'S&D', 'ECR', 'ALDE', 'Greens/EFA'];430
85;['EPP', 'NI', 'S&D', 'GUE/NGL'];516
86;['NI', 'S&D', 'ECR', 'Greens/EFA', 'EFDD'];411
87;['NI', 'S&D', 'GUE/NGL', 'ECR', 'ALDE', 'EFDD'];480
88;['EPP', 'NI', 'ALDE', 'GUE/NGL'];392
89;['S&D', 'GUE/NGL', 'ECR', 'ALDE', 'EFDD', 'EPP'];649
90;['EPP', 'S&D', 'GUE/NGL'];464
91;['ALDE', 'ECR', 'Greens/EFA', 'EFDD', 'EPP'];456
92;['NI', 'S&D', 'GUE/NGL', 'ALDE', 'Greens/EFA', 'EFDD'];460
93;['S&D', 'ECR', 'ALDE', 'Greens/EFA', 'EFDD', 'EPP'];647
94;['EPP', 'NI', 'ALDE', 'ECR'];410
95;['S&D', 'GUE/NGL', 'ECR', 'EFDD', 'EPP'];582
96;['EPP', 'NI', 'ECR', 'EFDD'];391
97;['S&D', 'GUE/NGL', 'ECR', 'ALDE', 'EPP'];601
98;['Greens/EFA', 'EPP', 'NI', 'S&D'];514
99;['ALDE', 'GUE/NGL', 'Greens/EFA', 'EFDD', 'EPP'];438
100;['NI', 'S&D', 'GUE/NGL', 'ECR', 'EFDD'];413
101;['Greens/EFA', 'EPP', 'NI', 'ALDE'];390
102;['S&D', 'GUE/NGL', 'Greens/EFA', 'EFDD', 'EPP'];562
103;['EFDD', 'S&D', 'ECR', 'ALDE'];376
104;['S&D', 'GUE/NGL', 'ALDE', 'Greens/EFA', 'EPP'];581
105;['S&D', 'GUE/NGL', 'ECR', 'ALDE', 'Greens/EFA', 'EPP'];651
106;['ALDE', 'GUE/NGL', 'ECR', 'Greens/EFA', 'EPP'];460
107;['NI', 'S&D', 'GUE/NGL', 'ECR', 'ALDE', 'Greens/EFA', 'EFDD'];530
108;['GUE/NGL', 'ECR', 'Greens/EFA', 'EFDD', 'EPP'];441
109;['NI', 'S&D', 'GUE/NGL', 'ALDE', 'EFDD'];410
110;['Greens/EFA', 'EPP', 'NI', 'ECR'];393
111;['NI', 'S&D', 'GUE/NGL', 'ALDE', 'Greens/EFA', 'EFDD', 'EPP'];681
112;['EPP', 'NI', 'S&D', 'EFDD'];512
113;['NI', 'S&D', 'GUE/NGL', 'ECR', 'Greens/EFA'];415
114;['EPP', 'NI', 'S&D', 'ALDE'];531
115;['EPP', 'GUE/NGL', 'S&D', 'ECR'];534
116;['NI', 'ALDE', 'ECR', 'EFDD', 'EPP'];458
117;['NI', 'S&D', 'GUE/NGL', 'ALDE', 'EFDD', 'EPP'];631
118;['S&D', 'ECR', 'Greens/EFA', 'EFDD', 'EPP'];580
119;['Greens/EFA', 'EPP', 'S&D', 'GUE/NGL'];514
120;['NI', 'ALDE', 'Greens/EFA', 'EFDD', 'EPP'];438
121;['Greens/EFA', 'EPP', 'S&D'];462
122;['NI', 'S&D', 'GUE/NGL', 'ALDE', 'Greens/EFA'];412
123;['NI', 'ALDE', 'GUE/NGL', 'ECR', 'Greens/EFA', 'EFDD', 'EPP'];560
124;['NI', 'S&D', 'ECR', 'ALDE', 'Greens/EFA', 'EFDD'];478
125;['EPP', 'S&D', 'ECR'];482
126;['NI', 'S&D', 'ECR', 'Greens/EFA', 'EPP'];584
