Party;Group;Seats
EPL;Group of the European Peoples Party (Christian Democrats);274
S&D;Group of the Progressive Alliance of Socialists and Democrats in the European Parliament;196
ALDE;Alliance of Liberals and Democrats for Europe;83
Green/WSE;The Greens;57
ECR;European Conservatives and Reformists;57
GUE/NGL;European United Left/Nordic Green Left;35
EFD;Europe of freedom and direct democracy Group;31
NI;Non-attached Members: not belonging to any political group;33
