Party,Group,Seats,Shapley
EPL,Group of the European Peoples Party (Christian Democrats),274,0.46649148601161616
S&D,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,196,0.19446095452602163
ALDE,Alliance of Liberals and Democrats for Europe,83,0.14598387920876738
Green/WSE,The Greens,57,0.08260602079227537
ECR,European Conservatives and Reformists,57,0.08260602079227537
GUE/NGL,European United Left/Nordic Green Left,35,0.04533842191426575
EFD,Europe of freedom and direct democracy Group,31,0.04533842191426575
NI,Non-attached Members: not belonging to any political group,33,0.04533842191426575
