;Party;Seats
86;['EPP', 'Greens/EFA', 'S&D', 'ID', 'NI'];540
87;['EPP', 'GUE/NGL', 'Greens/EFA', 'S&D', 'ID', 'ECR'];586
88;['EPP', 'Greens/EFA', 'ID', 'RE', 'NI'];494
89;['EPP', 'GUE/NGL', 'Greens/EFA', 'ID', 'ECR'];432
90;['RE', 'ECR', 'S&D', 'NI'];381
91;['EPP', 'ID', 'S&D', 'NI'];466
92;['EPP', 'RE', 'S&D', 'ID'];517
93;['EPP', 'ECR', 'S&D', 'ID'];471
94;['ID', 'RE', 'S&D', 'NI'];392
95;['EPP', 'GUE/NGL', 'Greens/EFA', 'RE', 'ECR', 'NI'];524
96;['GUE/NGL', 'S&D', 'ID', 'RE', 'ECR', 'NI'];495
97;['EPP', 'Greens/EFA', 'S&D', 'RE', 'NI'];575
98;['EPP', 'Greens/EFA', 'S&D', 'ECR', 'NI'];529
99;['EPP', 'GUE/NGL', 'Greens/EFA', 'S&D', 'ECR'];513
100;['EPP', 'GUE/NGL', 'Greens/EFA', 'RE', 'ECR'];467
101;['EPP', 'GUE/NGL', 'Greens/EFA', 'ECR', 'NI'];416
102;['GUE/NGL', 'S&D', 'ID', 'ECR', 'NI'];387
103;['GUE/NGL', 'Greens/EFA', 'S&D', 'ID', 'RE'];450
104;['EPP', 'GUE/NGL', 'S&D', 'RE', 'ECR', 'NI'];604
105;['EPP', 'S&D', 'RE', 'ECR', 'NI'];563
106;['EPP', 'Greens/EFA', 'ID', 'ECR', 'NI'];448
107;['GUE/NGL', 'Greens/EFA', 'EPP', 'S&D', 'ID', 'NI'];581
108;['GUE/NGL', 'Greens/EFA', 'EPP', 'S&D', 'ID', 'RE', 'NI'];689
109;['EPP', 'GUE/NGL', 'S&D', 'ID', 'RE'];558
110;['EPP', 'GUE/NGL', 'ID', 'RE', 'ECR', 'NI'];523
111;['GUE/NGL', 'Greens/EFA', 'S&D', 'RE', 'ECR', 'NI'];496
112;['EPP', 'S&D', 'ID', 'RE', 'ECR', 'NI'];636
113;['GUE/NGL', 'Greens/EFA', 'S&D', 'RE', 'NI'];434
114;['EPP', 'GUE/NGL', 'ID', 'RE', 'NI'];461
115;['EPP', 'GUE/NGL', 'ID', 'RE', 'ECR'];466
116;['EPP', 'ID', 'RE', 'ECR', 'NI'];482
117;['Greens/EFA', 'S&D', 'RE', 'ECR', 'NI'];455
118;['EPP', 'S&D', 'ID', 'ECR', 'NI'];528
119;['EPP', 'Greens/EFA', 'RE', 'NI'];421
120;['EPP', 'Greens/EFA', 'S&D', 'RE', 'ECR', 'NI'];637
121;['EPP', 'Greens/EFA', 'S&D', 'NI'];467
122;['EPP', 'RE', 'S&D'];444
123;['EPP', 'ECR', 'S&D'];398
124;['EPP', 'GUE/NGL', 'S&D', 'Greens/EFA'];451
125;['GUE/NGL', 'S&D', 'ID', 'RE', 'ECR'];438
126;['Greens/EFA', 'S&D', 'ID', 'RE', 'NI'];466
